CustomerID,StoreNumber,CustomerSegment,Responder,FirstName,LastName,Address,City,State,Zip,Lat,Lon,StoreId,Direction,DriveTime,DriveDistanceMiles,RowCount
2,100," Corporate",No,JEAN,SMITH,376 S JASMINE ST,DENVER,CO,80224,39.7097342857143,-104.918581741593,100,SE,6.03,1.49,
3,100," Corporate",No,JULIA,CARRERA,846 S UMATILLA WAY,DENVER,CO,80223,39.7009275356545,-105.012175941854,100,E,20.88,9.49,
5,100," Home Office",No,LINDA,TREVINO,5360 ZUNI ST,DENVER,CO,80221,39.7939240392764,-105.015644744517,100,SE,29.4,15.95,
10,100," Home Office",No,PAMELA,WRIGHT,2316 E 5TH AVE,DENVER,CO,80206,39.7239928674084,-104.959232244898,100,SE,15.14,3.99,
20,100," Small Business",No,KRISTA,FLOREZ,2879 S MEMPHIS ST,AURORA,CO,80013,39.664674026209,-104.799148906669,100,NW,21.8,7.38,
21,100," Small Business",Yes,AVIVA,HEIFETS,3490 S BELLAIRE ST,DENVER,CO,80222,39.6531879477447,-104.937241282934,100,NE,13.69,6.23,
31,100," Corporate",No,HEATHER,DULCY,1653 IOLA ST,AURORA,CO,80010,39.7429263265306,-104.864798344242,100,SW,17.55,5.12,
53,100," Corporate",No,DANA,COLLINS,4762 E ARKANSAS AVE,DENVER,CO,80222,39.691021050569,-104.932120120558,100,E,10.43,2.46,
57,100," Consumer",No,LYDIA,MAZANTI,10 S SHERMAN ST,DENVER,CO,80209,39.7163869533612,-104.984845101737,100,E,18.06,7.84,
68,100," Corporate",Yes,HEATHER,BLACK,605 S ALTON WAY,DENVER,CO,80247,39.7048033456383,-104.883428245668,100,W,10.6,3.05,
87,100," Corporate",No,RUTH,GILDEA,1221 ULSTER ST,DENVER,CO,80220,39.7359763661019,-104.894234231366,100,S,13.22,3.73,
90,100," Corporate",No,ALLISON,VILLARREAL,2370 DAHLIA ST,DENVER,CO,80207,39.7523385714286,-104.931521631392,100,S,17.31,5.42,
97,100," Home Office",No,REYNA,DETUN,2301 MOLINE ST,AURORA,CO,80010,39.7510906561293,-104.854248363335,100,SW,18.4,6.11,
100,100," Consumer",No,MELISSA,RUFF,2753 S MILWAUKEE ST,DENVER,CO,80210,39.6667731877056,-104.952564105033,100,NE,17.8,5.35,
101,100," Consumer",No,ERNA,ARUSTAMYAN,1137 S BOSTON CT,DENVER,CO,80247,39.6954132000694,-104.879758221416,100,W,7.65,1.86,
104,100," Consumer",No,ELLEN,BRILLIANT,415 GRAPE ST,DENVER,CO,80220,39.7233413823829,-104.92514899872,100,SE,10.12,2.5,
107,100," Consumer",No,KATHRYN,HALL,18343 E ARKANSAS AVE,AURORA,CO,80017,39.6908766233635,-104.774900370637,100,W,23.25,7.58,
109,100," Consumer",No,TRISHA,BONTZ,7265 W CENTER AVE,DENVER,CO,80226,39.7054318716341,-105.077721777024,100,E,28.83,17.07,
110,100," Consumer",No,KARLEE,LUTZKA,2890 W ROWLAND PL,LITTLETON,CO,80120,39.5878482786353,-105.024268553324,100,NE,33.11,16.68,
122,100," Home Office",No,MICHELLE,LAMONT,7351 S SHERIDAN CT,LITTLETON,CO,80128,39.58286,-105.054857931619,100,NE,33.06,24.68,
133,100," Home Office",Yes,JOYCE,WEISS,8101 E MISSISSIPPI AVE,DENVER,CO,80247,39.6967920138141,-104.891310684962,100,W,4.24,1.2,
134,100," Corporate",Yes,LODOIBALDA,AMARBAYASGAL,1039 S PARKER RD,DENVER,CO,80231,39.6973812494576,-104.900841355301,100,NW,1.49,0.26,
144,100," Small Business",No,JESIKA,PETERSON,1628 S LOCUST ST,DENVER,CO,80224,39.6870148153659,-104.913870763744,100,NE,6.81,1.59,
148,100," Small Business",No,MEGHAN,BOYD,1885 S FAIRFAX ST,DENVER,CO,80222,39.6824102096632,-104.928881037957,100,NE,11.22,2.73,
153,100," Consumer",No,JOSEPHINE,ESKANOS,2829 S NEWARK PL,AURORA,CO,80014,39.6650091415297,-104.853140944472,100,NW,15.24,4.34,
154,100," Small Business",Yes,PATRICIA,AIKEN,5250 CHERRY CREEK SOUTH DR,DENVER,CO,80246,39.6996297627154,-104.926939874285,100,E,6.83,2.02,
